011002101200020121220200111 0  A  87/100
020210222112002112020202120 0  G  60/100
201211212010001200221121021 0  H  86/100
101111122211001110122012022 0  N  27/100
202001002122100122102012110 1  M  69/100
200012022202102211020011012 1  L  76/100
101202012000012012220200001 1  J  61/100
121122121002201002211211011 2  K  56/100
102020001221202001210021111 1  F  26/100
001121221222100200021010222 0  E  69/100
221001222121020121201111200 0  C  35/100
012010121202002121212001022 2  B  19/100
011212020120000000020110101 0  D  65/100

